epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,3509.51,1.28848,1.13719,1.58652,0.76684,0.70927,0.78859,0.46351,1.48314,1.17816,1.65792,0.000104537,0.000104537,0.000104537
82,3550.66,1.28406,1.13688,1.56931,0.73201,0.71484,0.77007,0.44271,1.53196,1.22875,1.69959,9.55951e-05,9.55951e-05,9.55951e-05
83,3595.74,1.28506,1.14308,1.57625,0.7196,0.72211,0.76892,0.45218,1.49735,1.19785,1.68736,8.70577e-05,8.70577e-05,8.70577e-05
84,3637.41,1.28681,1.13812,1.56531,0.69269,0.7247,0.79492,0.44834,1.55456,1.19849,1.69931,7.89327e-05,7.89327e-05,7.89327e-05
85,3677.95,1.27936,1.12738,1.56752,0.68845,0.7241,0.77731,0.43357,1.52965,1.19115,1.69567,7.12282e-05,7.12282e-05,7.12282e-05
86,3720.94,1.27038,1.13204,1.55381,0.72746,0.68342,0.78596,0.4384,1.5334,1.18236,1.69321,6.39518e-05,6.39518e-05,6.39518e-05
87,3761.55,1.27021,1.11501,1.55159,0.72784,0.68174,0.78608,0.44406,1.49541,1.18843,1.6766,5.71106e-05,5.71106e-05,5.71106e-05
88,3802.19,1.27105,1.11691,1.5691,0.76457,0.67613,0.77899,0.44163,1.5074,1.22239,1.6914,5.07115e-05,5.07115e-05,5.07115e-05
89,3843.91,1.25552,1.12179,1.553,0.72533,0.71095,0.79873,0.43977,1.52651,1.2022,1.67751,4.47606e-05,4.47606e-05,4.47606e-05
90,3887.32,1.26424,1.11454,1.56272,0.73795,0.7199,0.78674,0.44831,1.50761,1.18772,1.68478,3.9264e-05,3.9264e-05,3.9264e-05
91,3931.89,1.25833,1.11707,1.5515,0.68625,0.73715,0.79031,0.44669,1.50772,1.18116,1.6764,3.4227e-05,3.4227e-05,3.4227e-05
92,3972.61,1.24573,1.10744,1.5571,0.71573,0.72035,0.79369,0.4434,1.52784,1.18405,1.70286,2.96546e-05,2.96546e-05,2.96546e-05
93,4014.61,1.24806,1.09732,1.5404,0.75437,0.71306,0.79786,0.44234,1.52028,1.21367,1.68469,2.55513e-05,2.55513e-05,2.55513e-05
94,4056.81,1.25112,1.09351,1.55554,0.75225,0.71306,0.80325,0.45337,1.52518,1.19732,1.68985,2.19212e-05,2.19212e-05,2.19212e-05
95,4098.62,1.25498,1.10367,1.54969,0.74605,0.71507,0.79806,0.44177,1.5344,1.18738,1.71007,1.87678e-05,1.87678e-05,1.87678e-05
96,4140.65,1.25459,1.10177,1.56428,0.71486,0.71782,0.79583,0.45331,1.5319,1.17723,1.70325,1.60943e-05,1.60943e-05,1.60943e-05
97,4184.45,1.23028,1.08329,1.53809,0.69527,0.73471,0.7908,0.44298,1.53445,1.18314,1.69866,1.39032e-05,1.39032e-05,1.39032e-05
98,4229.39,1.25495,1.09338,1.54833,0.69499,0.75395,0.78911,0.44305,1.53735,1.18973,1.70456,1.21968e-05,1.21968e-05,1.21968e-05
99,4272.37,1.23631,1.09668,1.54316,0.70997,0.74126,0.79282,0.44833,1.52711,1.18965,1.69169,1.09768e-05,1.09768e-05,1.09768e-05
100,4314.76,1.24483,1.10138,1.5363,0.68999,0.71771,0.78254,0.44268,1.51717,1.20619,1.6877,1.02443e-05,1.02443e-05,1.02443e-05
